id,name,addr1,addr2,lat,lon,bikes_avail,spots_avail,spots_total,status,status_key,test_stn
443,Bedford Ave & S 9 St,Bedford Ave & S 9th St,,40.70853074,-73.96408963,2,21,23,In Service,1,False
444,Broadway & W 24 St,Broadway & W 24 St,,40.7423543,-73.98915076,49,3,52,In Service,1,False
445,E 10 St & Avenue A,E 10 St & Avenue A,,40.72740794,-73.98142006,5,31,36,In Service,1,False
446,W 24 St & 7 Ave,W 24 St & 7 Ave,,40.74487634,-73.99529885,1,38,39,In Service,1,False
447,8 Ave & W 52 St,8 Ave & W 52 St,,40.76370739,-73.9851615,1,30,31,In Service,1,False
448,W 37 St & 10 Ave,W 37 St & 10 Ave,,40.75660359,-73.9979009,9,22,31,In Service,1,False
449,W 52 St & 9 Ave,W 52 St & 9 Ave,,40.76461837,-73.98789473,0,31,31,In Service,1,False
450,W 49 St & 8 Ave,W 49 St & 8 Ave,,40.76227205,-73.98788205,0,59,59,In Service,1,False
453,W 22 St & 8 Ave,W 22 St & 8 Ave,,40.74475148,-73.99915362,2,37,39,In Service,1,False
454,E 51 St & 1 Ave,E 51 St & 1 Ave,,40.75455731,-73.96592976,3,32,35,In Service,1,False
455,1 Ave & E 44 St,1 Ave & E 44 St,,40.75001986,-73.96905301,27,12,39,In Service,1,False
456,E 53 St & Madison Ave,E 53 St & Madison Ave,,40.7597108,-73.97402311,34,1,35,In Service,1,False
457,Broadway & W 57 St,Broadway & W 57 St,,40.76695317,-73.98169333,2,57,59,In Service,1,False
458,11 Ave & W 27 St,11 Ave & W 27 St,,40.751396,-74.005226,0,31,31,In Service,1,False
459,W 18 St & 11 Ave,W 18 St & 11 Ave,,40.74522724,-74.00797904,17,4,21,In Service,1,False
460,S 4 St & Wythe Ave,S 4 St & Wythe Ave,,40.71285887,-73.96590294,1,22,23,In Service,1,False
461,E 20 St & 2 Ave,E 20 St & 2 Ave,,40.73587678,-73.98205027,0,39,39,Not In Service,3,False
462,W 22 St & 10 Ave,W 22 St & 10 Ave,,40.74691959,-74.00451887,22,25,47,In Service,1,False
463,9 Ave & W 16 St,9 Ave & W 16 St,,40.74206539,-74.00443172,22,3,25,In Service,1,False
464,E 56 St & 3 Ave,E 56 St & 3 Ave,,40.75934501,-73.96759673,31,28,59,In Service,1,False
465,Broadway & W 41 St,Broadway & W 41 St,,40.75513557,-73.98658032,12,27,39,In Service,1,False
466,W 25 St & 6 Ave,W 25 St & 6 Ave,,40.74395411,-73.99144871,23,12,35,In Service,1,False
467,Dean St & 4 Ave,Dean St & 4 Ave,,40.68312489,-73.97895137,14,20,34,In Service,1,False
468,Broadway & W 55 St,Broadway & W 55 St,,40.7652654,-73.98192338,1,58,59,In Service,1,False
469,Broadway & W 53 St,Broadway & W 53 St,,40.76344058,-73.98268129,0,57,57,In Service,1,False
470,W 20 St & 8 Ave,W 20 St & 8 Ave,,40.74345335,-74.00004031,2,35,37,In Service,1,False
471,Grand St & Havemeyer St,Grand St & Havemeyer St,,40.71286844,-73.95698119,21,6,27,In Service,1,False
472,E 32 St & Park Ave,E 32 St & Park Ave,,40.7457121,-73.98194829,11,30,41,In Service,1,False
473,Rivington St & Chrystie St,Rivington St & Chrystie St,,40.72110063,-73.9919254,20,22,42,In Service,1,False
474,5 Ave & E 29 St,5 Ave & E 29 St,,40.7451677,-73.98683077,39,8,47,In Service,1,False
